Movie Title,Imdb Rating
Cat on a Hot Tin Roof,7.9
Click,6.4
Clueless,6.9
Con Air,6.9
Contact,7.5
"Crouching Tiger, Hidden Dragon",7.9
Delicatessen,7.5
Destination Wedding,6.0
Die Hard,8.2
Divergent,6.6
Ex Machina,7.7
Fifty Shades Darker,4.6
Fifty Shades of Grey,4.2
For Love of the Game,6.6
Forget Paris,6.5
Goldfinger,7.7
Honey,5.3
"I Love You, Man",7.0
Il Bidone,None
Iron Man,7.9
Jerry Maguire,7.3
John Wick,7.4
Kate & Leopold,6.4
Laws of Attraction,5.8
Long Shot,6.8
Lord of War,7.6
Lucky You,5.9
Maid in Manhattan,5.3
Mamma Mia!,6.5
"Me, Myself & Irene",6.6
Mrs. Doubtfire,7.1
Never Been Kissed,6.0
Notting Hill,7.2
Road House,6.7
Serendipity,6.8
Spider-Man,7.4
The Book of Love,6.0
The Hustler,8.0
The Kids Are All Right,7.0
The Promise,6.1
The Sting,8.3
There's Something About Mary,7.1
What Women Want,6.4
Your Place or Mine,5.7
A Beautiful Mind,8.2
A Walk to Remember,7.3
American Sniper,7.3
An Officer and a Gentleman,7.0
Atonement,7.8
Bridesmaids,6.8
Chasing Liberty,6.1
Chef,7.3
Desperado,7.1
Down to Earth,5.4
Dr. No,7.2
Empire,5.9
Four Christmases,5.7
Funny People,6.3
Garden State,7.4
Hitch,6.6
In Good Company,6.5
L'Avventura,7.8
La Strada,8.0
Legally Blonde,6.4
Meet Bill,6.2
On Her Majesty's Secret Service,6.7
Prince of Persia: The Sands of Time,6.6
Raising Arizona,7.3
Savages,7.1
Shutter Island,8.2
Slumdog Millionaire,8.0
Sound of Music,8.1
Spider-Man: Homecoming,7.4
Summer Catch,5.1
The Age of Adaline,7.2
The Curious Case of Benjamin Button,7.8
The Godfather,9.2
The Graduate,8.0
The Holiday,6.9
The Hollars,6.6
The King's Speech,8.0
The Replacements,6.6
The Way We Were,7.0
W.,6.3
Zoolander,6.5
13 Going on 30,6.3
About Time,7.8
Adrift,6.6
Armageddon,6.7
Blue Crush,5.7
Captain America: Civil War,7.8
Chips,6.0
Cinderella Man,8.0
Cold Mountain,7.2
Days of Thunder,6.1
Dear John,6.3
Ed Wood,7.8
Elizabethtown,6.3
Evan Almighty,5.4
Forgetting Sarah Marshall,7.1
Head over Heels,5.4
Here on Earth,5.2
Jersey Girl,6.2
King Kong,7.2
Le Mans,6.7
Les Miserables,5.5
Monster,7.3
Mr. Deeds,5.8
Pearl Harbor,6.2
Push,6.1
Queen of the Damned,5.2
Romeo + Juliet,6.8
Sleepless in Seattle,6.8
Tag,6.5
The Amazing Spider-Man,6.9
The Big Sick,7.5
The Dictator,6.4
The Notebook,7.8
The Wood,7.0
Top Gun,6.9
What's Your Number?,6.0
When a Man Loves a Woman,6.5
Wonder Woman,7.4
Zombieland,7.6
300,7.4
50/50,7.6
A Walk in the Clouds,6.7
All the Pretty Horses,5.8
Along Came Polly,6.0
Anchorman: The Legend of Ron Burgundy,7.1
Batman Begins,8.2
Broken Hill,6.2
Brooklyn,7.5
Chasing Amy,7.2
Chicago,7.2
Chinatown,8.2
First Man,7.3
Grosse Pointe Blank,7.3
Happy Gilmore,7.0
Hidden Figures,7.8
In Time,6.7
Juno,7.5
Knocked Up,6.9
La Dolce Vita,8.0
Leap Year,6.4
Meet the Parents,7.0
Midsommar,7.1
Moulin Rouge!,7.6
Peter Rabbit,6.6
Reservation Road,6.6
Siberia,4.3
Soul Food,7.0
Source Code,7.5
The Artist,7.9
The Bourne Identity,7.8
The Hudsucker Proxy,7.2
The Italian Job,7.0
The Princess Bride,8.0
The Rock,7.4
The Scarlet Letter,5.3
The Spanish Prisoner,7.2
This Means War,6.3
Twilight,5.3
Two Weeks Notice,6.1
Walk the Line,7.8
Wayne's World,6.2
We Are Your Friends,6.2
A Woman Under the Influence,8.1
Becoming Jane,7.0
Bottle Rocket,6.9
Cinderella,6.9
City of Angels,6.7
Coyote Ugly,5.7
Deadpool,8.0
Fight Club,8.8
Fools Rush In,6.1
Gigli,2.6
Hacksaw Ridge,8.1
His Girl Friday,7.8
I Know What You Did Last Summer,5.8
Idle Hands,6.2
Imagine Me & You,None
Independence Day: Resurgence,5.2
Inventing the Abbotts,6.4
Invincible,7.0
La ragazza con la valigia,None
Liar Liar,6.9
Look Who's Talking,5.9
Me Before You,7.4
Mickey Blue Eyes,5.9
Mirror Mirror,5.6
Neighbors,6.3
On the Basis of Sex,7.1
One Fine Day,6.5
Pete's Dragon,6.7
Ready Player One,7.4
Risky Business,6.8
Robin Hood: Prince of Thieves,6.9
Selma,7.5
She's All That,5.9
The 40-Year Old Virgin,7.1
The Best of me,6.7
The Dark Knight,9.0
The Disaster Artist,7.3
The Fault in Our Stars,7.7
The Five-Year Engagement,6.2
The Lucky One,6.4
The Matrix,8.7
The Story of Us,5.9
The Vow,6.8
Us,6.8
White Men Can't Jump,6.8
X2: X-Men United,7.4
10 Things I Hate About You,7.3
A Most Violent Year,7.0
A Simple Favor,6.8
Ace Ventura: Pet Detective,6.9
Aladdin,6.9
And So It Goes,5.8
Anger Management,6.2
Annihilation,6.8
Austin Powers: International Man of Mystery,7.0
Ben-Hur,5.7
Brokeback Mountain,7.7
Casanova,6.5
Dave,6.9
Doctor Strange,7.5
Easy A,7.0
Enemy at the Gates,7.5
Four Weddings and a Funeral,7.1
Friends with Benefits,6.5
Gangs of New York,7.5
I Don't Know How She Does It,4.9
Jeux d'enfants,5.1
Jurassic World,6.9
Last Holiday,6.5
Le notti di Cabiria,None
Little Nicky,5.3
Love & Basketball,7.2
Love & Other Drugs,6.7
Love Story,6.9
Office Space,7.6
Pitch Perfect,7.1
Robin Hood,5.3
Safe Men,5.8
Shakespeare in Love,7.1
Something New,6.6
Spider-Man: Far From Home,7.4
The Butterfly Effect,7.6
The English Patient,7.4
The Hunger Games: Mockingjay Part 2,6.5
The Last Time I Committed Suicide,5.5
The Twilight Saga: New Moon,4.8
The Young Victoria,7.2
Thor,7.0
Tristan + Isolde,6.8
Unforgettable,5.1
We Were Soldiers,7.1
500 Days of Summer,7.7
9 1/2 Weeks,3.5
A Knight's Tale,6.9
Angel Eyes,5.7
Australia,6.6
Baywatch,5.5
Before Sunrise,8.1
Beverly Hills Ninja,5.5
Breakfast at Tiffany's,7.6
Breathe,7.1
Captain America: The First Avenger,6.9
Chocolat,7.3
Cocktail,5.9
Dodgeball,6.7
Fever Pitch,6.2
Friday,7.2
Get Out,7.8
Guardians of the Galaxy,8.0
Hardball,6.4
Hustle & Flow,7.3
Inception,8.8
Jury Duty,4.2
Lady Bird,7.4
Marriage Story,7.9
Miss Congeniality,6.3
Monster Trucks,5.7
My Big Fat Greek Wedding,6.6
Punch-Drunk Love,7.3
Requiem for a Dream,8.3
Ride Along,6.1
Rumble Fish,7.1
Skyscraper,5.8
Slackers,5.3
Star Trek,7.9
Stomp the Yard,5.4
The Break-Up,5.8
The Last of the Mohicans,7.7
The Martian,8.0
The Painted Veil,7.4
The Sum of All Fears,6.4
The Theory of Everything,7.7
Titanic,7.9
Transformers: Dark of the Moon,6.2
Wild Mountain Thyme,5.7
Wonder,7.9
Yesterday,6.8
You People,5.5
Blue Valentine,7.3
Catch Me If You Can,8.1
Daddy's Little Girls,5.8
Good Will Hunting,8.3
Killing Me Softly,5.4
Red Riding Hood,5.4
She's Out of My League,6.4
Speed,7.3
The Hunger Games: Catching Fire,7.5
The Lake House,6.8
Tolkien,6.8
Transformers,7.0
